id,title,price,author,date_data,detail,producer
0, Java高并发核心编程 卷2（加强版）：多线程、锁、JMM、JUC、高并发设计模式,¥56.60,尼恩, /2022-11-01,深入浅出地剖析了多线程、线程池的底层原理。 结合线上项目经验，总结了IO密集型、CPU密集型线程池的线程数预估算法。 图文并茂地介绍了内置锁、JUC显式锁的核心原理和设计模式。 细致深入地揭秘了JMM内存模型。 全面介绍了JUC框架，并给出其核心组件的实战案例。 详尽地介绍了高并发设计模式的使用。,清华大学出版社
0, 深入理解Java虚拟机：JVM高级特性与实践（第3版）,¥88.30,周志明, /2019-12-15,（1） 互联网大厂面试核心知识点全覆盖 ！这本书值得所有Java技术人员读3遍，值得Java技术人员读3遍，值得读3遍！ （2）根据 JDK12和JDK 13 EA版本 全面更新，新增内容近50%，并对第2版中含糊、瑕疵和错误内容进行了修正。 （3）计算机图书领域的丰碑，累计印刷40次，销量超过 30万 册，两家网店评论数量超过100000条，内容近乎零差评。 （4）从 Java技术体系、自动内存管理、虚拟机执行子系统、程序编译与代码优化、高效并发 5个维度全面分析JVM。 （5）全书以 实战 为导向，通过大量与实际生产环境相结合的案例分析和展示了解决各种Java技术难题的方案和技巧。 （6）来自阿里、腾讯、微软、百度、滴滴、易宝支付、同盾科技、达观数据、易观国际、蘑菇街的10位专家高度评价并强烈推荐。,机械工业出版社
0, Java Web 从入门到项目实践（超值版）,¥39.90,聚慕课教育研发中心, /2019-05-29,读者对象：《JavaWeb从入门到项目实践（超值版）》适合Java Web开发技术的爱好者或初学者阅读，也适合有一定Java Web开发经验的人员阅读，还可供大中专院校及培训机构的老师、学生以及正在进行软件专业相关毕业设计的学生阅读。 ★★学网课、练题库、测水平，微信、手机、网站多维模式信手拈来。 ★★同步视频、案例源码、教学课件、海量资源、代码纠错器、在线课程一样都不少。 ★★微信公众号、QQ群、教学网站等多渠道互动服务读者。 ★★886套求职资源库、300例特效案例库、200道求职常见面试（笔试）真题与解析、132节同步微视频、100例常见面试（笔试）题库、60个经典案例库、40个项目案例库、7套电子书资源库。 ★★提供教学资源库、求职资源库、面试资源库、笔试题库、职业发展资源库、案例资源库、项目资源库、软件开发模板库、编程代码优化纠,清华大学出版社
0, Go Web编程 人民邮电出版社,¥55.30,(新加坡)郑兆雄(Sau Sheong Chang) 著;黄健宏 译, /2017-12-01,Go语言通过提供整洁快速的编译代码、垃圾回收、简单的并发Go模型以及丰富的标准库来满足人们对于可扩展、高性能Web 应用的需求，这种语言非常适用于编写微服务，又或者用于构建可扩展且可维护的系统。本书将教读者运用现代化设计理念构建Go Web应用的方法。阅读本书能让读者学会如何通过依赖注入设计模式来编写测试替身，如何在Web应用中使用并发特性，还有如何在Web服务中创建以及处理JSON数据和XML数据。除此之外，读者还将学会如何尽可能地减少应用对外部框架的依赖，并了解大量与应用测试以及应用部署有关的有价值的生产技术。本书主要内容● 基础知识。● 功能测试和基准测试。● 并发特性的使用方法。● 将应用部署到独立服务器、PaaS云端以及 Docker 的方法。● 大量提示、窍门以及技巧。本书假设读者熟悉Go语言的基本语法并了解Web 开发的一般,人民邮电出版社
0, Go语言开发实战（慕课版）本书由千锋教育为对GO语言感兴趣的初学者和爱好者量身定做 入门,¥54.40,, /2020-01-01,本书为对GO语言感兴趣的初学者和爱好者量身定做，从入门到精通。,人民邮电出版社
0, Go语言趣学指南 黄健宏译 go语言入门教程书籍 go程序设计语言实战编程学习笔记*级核心编程,¥51.75,[加] 内森?扬曼（Nathan Youngman） [英] 罗杰?佩珀（R, /2020-04-01,热门语言Go的入门书，学习过程充满乐趣，并能积累丰富的实战经验,人民邮电出版社
0, （预售）Go语言编程,¥36.75,许式伟 吕桂华 等编著, /2015-02-01,帮助读者迅速消除对Go语言的陌生感，深入了解Go语言的绝 佳作品,人民邮电出版社
0, Java入门+实战黄金组合套装(套装共两册),¥141.80,,2023-06-01,Java编程学习黄金搭档，从入门到实战一步到位！ 《Java从入门到精通（第7版）》：全面讲解Java基础和进阶知识，涵盖Java基础语法、面向对象、核心类库、多线程、网络通信等，配以大量实例，为您打下坚实的Java编程基础。累计销售90万册，读者评价： 内容全面，讲解清晰，视频教程生动易懂，非常适合Java初学者。 《Java项目开发全程实录（第5版）》：精选11个Java热门项目，涵盖基础应用、数据库应用和Web开发三大方向，让您在实践中掌握Java编程技巧，积累宝贵的实战经验。累计销售10万册，读者评价： 项目案例丰富，实战性强，让我对Java项目开发有了更深入的理解。 学习 Java入门 实战黄金组合套装 的优势： 1、从入门到实战无缝衔接：两本书内容衔接紧密，从基础语法到项目实战，让您轻松掌握Java编程的精髓。 2、快速积累项目实战经验：10多个实,清华大学出版社
0, Java网络爬虫精解与实践,¥44.50,张凯, /2024-11-01,《Java网络爬虫精解与实践》是一本旨在帮助读者使用Java开发高效网络爬虫系统的实用指南。深入剖析开源爬虫框架，掌握Web数据采集、解析和提取，验证码生成和识别，以及分布式网络爬虫架构设计等关键知识。覆盖手机APP通信抓包、逆向分析等技术，掌握基于手机APP的数据采集。最后，搭建完整的招聘领域网络爬虫系统，自动解析招聘信息，与搜索和推荐系统集成。《Java网络爬虫精解与实践》实用性强，提供丰富示例代码，适合IT从业者、开发人员、培训机构及教学使用。无论您是深入学习网络爬虫或初学者，《Java网络爬虫精解与实践》将带您踏上精彩的学习之旅，提升数据爬取和处理能力。,清华大学出版社
0, Java+Spring Boot企业级Web开发通关(套装共两册),¥149.70,,2023-06-01,Python编程自学：从入门到项目实战套装 包含两本图书，一本快速入门，一本就业实战，两本书相辅相成，帮助读者从初学Python到入职就业，一套书就够。 《Python从入门到精通（第3版）》：全面讲解Python基础和进阶知识，涵盖Python语言基础、正则表达式、函数、面向对象、模块、文件操作、数据库、游戏、爬虫、Web开发、办公自动化等知识，并配备了高清视频讲解，让你轻松掌握Python核心技术，为项目开发打下坚实基础。 《Python项目开发全程实录》：精选12个Python热点项目，涵盖Python基础开发、游戏开发、网络爬虫、大数据及可视化分析、Web开发、人工智能开发六大方向，带你体验软件开发的完整过程，积累丰富的项目经验，为求职就业点亮方向。 选择这套套装，你将获得： （1）系统全面的Python编程知识。 （2）丰富的项目实战经验。 （3）解决问题的能,清华大学出版社
0, Go语言从入门到进阶实战 内容实用 上手容易 实用技术大全 多媒体课件 源代码视频等配套资源丰富。,¥63.84,谢琼, /2021-02-01,Go语言从入门到进阶实战，内容实用，上手容易，实用技术大全，多媒体课件、源代码、视频等配套资源丰富。,人民邮电出版社
0, Go语言从基础到中台微服务实战开发,¥39.40,编者:朱著显//郑敦庄, /2021-06-01,空,中国水利水电
0, Go语言从入门到进阶实战 徐波 著 机械工业出版社【达额立减】,¥49.50,徐波 著, /2018-06-01,适读人群 ：Go语言入门读者、Go语言进阶读者、编程爱好者等 资深程序员、慕课网特邀讲师分享多年的Go语言开发经验详解Go语法及开发技巧，深度剖析开源网络库cell的设计和架构思想100分钟配套教学视频、72个开发实例精讲用浅显易懂的语言讲解，不让读者有云山雾罩的感觉用大量实例带领读者学习，让读者在实际动手中提高编程水平给出了大量的“避坑”技巧，让读者在实际开发中少走弯路实例来自于作者多年的口述教学和技术分享会，广受业界好评每个实例程序都精心设计，让Go语言学习者大呼过瘾本书内容速览：初识Go语言Go语言基本语法与使用容器：存储和组织数据的方式流程控制函数（function）结构体（struct）接口（interface）包（package）并发反射编译与工具“避坑”与技巧实战演练——剖析cell网络库设计并实现Socket聊天功能,机械工业出版社
0, Go专家编程/华为云原生技术丛书,¥53.80,任洪彩|责编:陈晓猛, /2020-07-01,空,电子工业
0, Java从入门到精通 第七版+EffectiveJava中文版 原书第3版,¥189.60,明日科技,,空,清华大学出版社
0, Java语言程序设计实用教程（第二版）,¥46.60,"周长玉,彭文,王素琴", /2024-10-08,"双色排版,提供慕课视频,丰富案例,扩展资源,课后习题,思维导图",中国电力出版社
